Role,Timestamp,Text
Respondent,00:14:59,"The what makes democracy democracy to me? Which everyone is able to take part in politics. Elaborate on that? Okay. If democracy is a form of of finding the rules that society lives by. Then, it's a way of finding the rules. Then what makes democracy a democracy is that everyone takes part in finding that rules and that\... Maybe elaborating comparing this to autocratic systems where only, for example, there is one leader deciding what is good or bad or maybe not necessarily good or bad, but just making the rules versus everyone has a part in making the rules. This is the."
Interviewer,00:15:50,"So it's actually general ability of participation?"
Respondent,00:15:53,"Yeah, yeah."
Interviewer,00:15:54,"Compared to autocracy. Okay. So, the final question is the architect of Munich's park for the 72 Olympics aim to create a democratic landscape that is open and accessible to all. But in what way do you think that public parks do or do not contribute to the principle of democracy or in a society?"
Respondent,00:16:18,"Public parks, public parks? How do they contribute to democracy basically, right? I understood that correctly?"
Interviewer,00:16:29,"Yeah. If you want, I can say it again. In what way do you think public parks do or do not contribute to the principle of democracy in society?"
Respondent,00:16:43,"I think that democracy requires to build your own opinion, to be able to give your own opinion in the rule building part, and therefore you would have to share your opinion or discuss about your opinion. Because democracy lives from conversation and public parks, or in general public places, allow people together to talk about their opinions, to share opinions, to discuss opinions, and therefore for a public parks. At least used to be or used to be more relevant for that. But like as a place to share this opinion, discuss your opinion. I guess it is the central part of democracy, probably. But this is more this is not necessarily the public park, but in general, a space where you can discuss publicly. By now, I suppose it's rather the internet and therefore public parks don't really have the same meaning, which they used to have. I'm not sure if they ever were used for discussing, but yeah."
Interviewer,00:17:44,"So maybe for 74 Olympics Olympia Park was a good place for discussions. I don't know."
Respondent,00:17:51,"Probably, but I remember that, you realized in Olympia Park there had Turkey missing on the card, right on the map."
Interviewer,00:18:02,"Yes. Yeah, I think so. But it's also a speech, so."
Respondent,00:18:06,"Okay."
Interviewer,00:18:07,"I try to respect it."
Interviewer,00:18:09,"That's all. Okay."
Respondent,00:18:15,"Nice."
