Role,Timestamp,Text
Interviewer,00:07:45,"Okay, so yet you said one thing that made you disappointed. Is there, one thing that maybe, made you satisfied?"
Respondent,00:07:57,"Sure. I mean, seven years, I guess stuff like raising minimum wage is something that generally is a satisfying political outcome to me."
Interviewer,00:08:15,"Now that we have talked a little bit about the meaning of politics, would you reconsider your definition of politics that you said before?"
Respondent,00:08:26,"Yes, because I was very shaky at my definition in the beginning already, and I still don't have a perfect definition now, so I was unsure about the definition back then, and I still am at this point."
Interviewer,00:08:40,"Okay. Yeah. And now let's, talk about democracy. When you think about how democracy works right now in Western countries such as Germany, what are the good things that come to mind?"
Respondent,00:08:59,"The good things that come to mind is that generally, it seems that Germany still is a democratic country. It's free to live relatively free life and not the\... Hard question. Good things about democracy. Just."
Interviewer,00:09:54,"Okay\..."
Respondent,00:09:54,"Yeah. Yeah, sure. Skip to the next question."
Interviewer,00:09:59,"Okay. We can do that. And what are the bad things that come to your mind about democracy in the West?"
Respondent,00:10:09,"I think the way democracy is implemented here might have some flaws because often people are elected but that does not mean that they necessarily need to actually fulfill any promises they made while campaigning, or actually do whatever the people who elected them want them to do. So, I think elected politicians sometimes don't necessarily represent best what people would want them to do."
Interviewer,00:11:03,"Okay. And generally speaking what makes a country democratic?"
Respondent,00:11:13,"Free and fair elections. I want to say. That's like the main point."
Interviewer,00:11:22,"Okay. And what are the most important elements of a democracy?"
Respondent,00:11:31,"Democracy. The most important elements of a democracy. I mean, I guess it's still not the same as before. The most important elements are that people can vote for whoever they want. I guess within reason. Voting for undemocratic parties who want to actively destroy democracy. I think it could be considered democratic to forbid those. Okay. Yeah. I think democracy for me is mainly about electing people to lead the country."
Interviewer,00:12:18,"Okay. And the last question, the architect of Munich's Olympia Park for the 1972 Olympics aim to create a democratic landscape that is open and accessible to all. In what way do you think public parks do or do not contribute to the principles of democracy and society?"
Respondent,00:12:43,"I mean, generally the idea of a democracy would be that everyone has the same kind of vote and influence and can participate in the same way. And so designed and you're part that is very accessible and where everyone can enter freely and participate, so to say, if they want to. I mean, it's just, it represents or it represents the values of democracy maybe. But I think even if not parks, all parks are inclusive are the consist of a democratic country. So it's not the most important thing, I think."
Interviewer,00:13:38,"Okay. Thank you."
